registration_date,registration_country,purchase_count,purchase_count_delivery,purchase_count_takeaway,first_purchase_day,last_purchase_day,user_id,breakfast_purchases,lunch_purchases,evening_purchases,dinner_purchases,late_night_purchases,total_purchases_eur,distinct_purchase_venue_count,min_purchase_value_eur,max_purchase_value_eur,avg_purchase_value_eur,preferred_device,ios_purchases,web_purchases,android_purchases,preferred_restaurant_types,user_has_valid_payment_method,most_common_hour_of_the_day_to_purchase,most_common_weekday_to_purchase,avg_days_between_purchases,median_days_between_purchases,average_delivery_distance_kms,purchase_count_by_store_type,customer_segment
9/1/2019,FIN,1,1,0,9/2/2020,9/2/2020,2,0,1,0,0,0,38.456,1,38.532,38.608,38.456,android,0,0,1, ,FALSE,23,2, , ,6.853,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,DNK,19,19,0,12/10/2019,5/25/2020,3,0,4,1,14,0,631.488,9,20.28,43.688,33.396,android,0,19,0, ,TRUE,21,2,9,3,6.559,"{
  General merchandise: 1,
  Grocery: 9,
  Pet supplies: 0,
  Restaurant: 9,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,1,1,0,10/14/2020,10/14/2020,8,0,0,1,0,0,19.228,1,19.266,19.304,19.228,android,0,0,1, ,TRUE,5,1, , ,1.251,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Budget User
9/1/2019,FIN,19,19,0,4/18/2020,10/27/2020,13,0,8,0,11,0,587.972,3,19.266,47.752,31.372,ios,19,0,0, ,TRUE,7,3,11,9,3.303,"{
  General merchandise: 1,
  Grocery: 9,
  Pet supplies: 0,
  Restaurant: 9,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,2,2,0,8/21/2020,9/9/2020,14,0,1,1,0,0,118.404,1,57.798,60.96,59.708,ios,0,0,2,"[
  american
]",FALSE,5,6,19,19,1.382,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Occasional Big Spender
9/1/2019,FIN,2,2,0,5/18/2020,7/6/2020,16,0,2,0,0,0,107.272,1,51.714,56.896,53.636,ios,2,0,0, ,FALSE,0,1,49,49,4.619,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Occasional Big Spender
9/1/2019,FIN,7,5,2,12/5/2019,10/31/2020,17,0,5,0,2,0,284.372,6,22.308,58.928,40.48,android,0,0,7,"[
  american
]",TRUE,10,1,55,56,4.903,"{
  General merchandise: 1,
  Grocery: 3,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 0
}",Power User
9/1/2019,DNK,2,2,0,9/5/2019,5/16/2020,18,0,0,0,2,0,116.38,2,29.406,86.36,57.684,ios,2,0,0,"[
  japanese
]",TRUE,7,2,254,254,8.324,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Occasional Big Spender
9/1/2019,GRC,3,3,0,4/26/2020,5/28/2020,21,0,1,0,2,0,25.3,3,8.112,9.144,8.096,ios,3,0,0, ,TRUE,2,7,16,16,2.956,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,4,4,0,10/27/2019,7/8/2020,22,0,0,0,4,0,109.296,4,19.266,36.576,27.324,android,0,0,4, ,TRUE,1,1,85,96,1.609,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 4,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,1,1,0,10/24/2020,10/24/2020,23,0,0,0,1,0,25.3,1,25.35,25.4,25.3,ios,1,0,0, ,TRUE,7,5, , ,9.408,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,1,1,0,10/6/2020,10/6/2020,25,0,0,1,0,0,14.168,1,14.196,14.224,14.168,ios,1,0,0, ,FALSE,10,5, , ,7.322,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Budget User
9/1/2019,FIN,6,6,0,2/2/2020,10/18/2020,27,0,2,0,4,0,145.728,2,19.266,39.624,24.288,ios,6,0,0,"[
  italian
]",TRUE,0,2,52,58,4.506,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 3
}",Mid-Tier User
9/1/2019,FIN,3,3,0,2/2/2020,10/31/2020,28,0,2,1,0,0,80.96,3,22.308,35.56,27.324,ios,1,0,2, ,TRUE,6,5,136,136,2.39,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 0
}",Mid-Tier User
9/1/2019,LVA,33,32,1,9/13/2019,10/29/2020,32,0,7,7,13,0,753.94,13,7.098,40.64,23.276,ios,33,0,0,"[
  american
]",TRUE,23,2,13,2,6.747,"{
  General merchandise: 0,
  Grocery: 16,
  Pet supplies: 1,
  Restaurant: 16,
  Retail store: 0
}",Mid-Tier User
9/1/2019,GRC,3,3,0,9/1/2019,1/17/2020,34,0,1,0,2,0,56.672,2,18.252,19.304,19.228,ios,3,0,0, ,TRUE,9,3,69,69,10.618,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,1,1,0,10/17/2020,10/17/2020,38,0,1,0,0,0,64.768,1,64.896,65.024,64.768,ios,1,0,0, ,TRUE,6,5, , ,7.431,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Occasional Big Spender
9/1/2019,FIN,3,3,0,11/3/2019,11/13/2019,40,0,2,0,1,0,46.552,2,15.21,16.256,15.18,android,0,0,3,"[
  middle eastern
]",TRUE,1,3,5,5,1.566,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 0
}",Mid-Tier User
9/1/2019,DNK,1,1,0,6/15/2020,6/15/2020,42,0,1,0,0,0,38.456,1,38.532,38.608,38.456,ios,1,0,0, ,FALSE,7,4, , ,4.55,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,GRC,2,2,0,9/11/2020,9/18/2020,43,0,2,0,0,0,12.144,2,6.084,6.096,6.072,android,2,0,0, ,FALSE,12,2,7,7,0.271,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Budget User
9/1/2019,FIN,3,3,0,1/4/2020,8/22/2020,45,0,3,0,0,0,113.344,3,31.434,41.656,37.444,android,0,0,3, ,FALSE,23,3,116,116,6.776,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 0
}",Mid-Tier User
9/1/2019,DNK,1,1,0,11/5/2019,11/5/2019,46,0,1,0,0,0,55.66,1,55.77,55.88,55.66,web,0,1,0, ,TRUE,23,6, , ,8.617,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Occasional Big Spender
9/1/2019,FIN,1,1,0,9/1/2019,9/1/2019,49,1,0,0,0,0,26.312,1,26.364,26.416,26.312,web,0,1,0, ,TRUE,20,7, , ,7.357,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,GRC,1,1,0,9/24/2019,9/24/2019,51,0,0,0,1,0,9.108,1,9.126,9.144,9.108,android,0,0,1, ,FALSE,10,5, , ,0.862,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Budget User
9/1/2019,FIN,2,2,0,9/2/2019,9/3/2019,54,0,0,0,2,0,63.756,2,23.322,41.656,32.384,android,0,0,2, ,TRUE,13,5,1,1,6.934,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Mid-Tier User
9/1/2019,GRC,1,1,0,9/1/2019,9/1/2019,55,1,0,0,0,0,6.072,1,6.084,6.096,6.072,android,0,0,1, ,FALSE,23,1, , ,3.596,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Budget User
9/1/2019,FIN,2,2,0,9/1/2019,9/22/2019,57,2,0,0,0,0,38.456,2,16.224,22.352,19.228,ios,2,0,0, ,TRUE,7,7,21,21,4.817,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Budget User
9/1/2019,GRC,4,4,0,1/8/2020,6/16/2020,58,0,4,0,0,0,33.396,4,8.112,9.144,8.096,android,0,2,2, ,TRUE,11,7,53,35,1.836,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 4,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,3,3,0,9/1/2019,9/11/2019,59,1,1,1,0,0,91.08,2,19.266,38.608,30.36,android,0,0,3,"[
  american
]",TRUE,8,4,5,5,3.167,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 0
}",Mid-Tier User
9/1/2019,GRC,1,1,0,9/1/2019,9/1/2019,60,1,0,0,0,0,7.084,1,7.098,7.112,7.084,android,0,0,1, ,TRUE,21,7, , ,4.256,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Budget User
9/1/2019,GRC,1,1,0,7/23/2020,7/23/2020,65,0,1,0,0,0,8.096,1,8.112,8.128,8.096,android,0,0,1, ,TRUE,21,2, , ,3.963,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Budget User
9/1/2019,FIN,8,8,0,11/16/2019,10/25/2020,66,0,2,0,5,0,276.276,6,11.154,68.072,34.408,android,4,0,4,"[
  middle eastern
]",FALSE,12,4,49,34,9.94,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 4,
  Retail store: 4
}",Mid-Tier User
9/1/2019,FIN,1,1,0,10/10/2019,10/10/2019,67,0,0,0,1,0,17.204,1,17.238,17.272,17.204,ios,1,0,0, ,TRUE,10,1, , ,8.677,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Budget User
9/1/2019,GRC,16,16,0,2/27/2020,10/26/2020,70,0,11,0,5,0,322.828,7,6.084,35.56,20.24,ios,16,0,0, ,TRUE,18,2,16,4,4.94,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 8,
  Retail store: 8
}",Mid-Tier User
9/1/2019,FIN,1,1,0,9/1/2019,9/1/2019,71,0,1,0,0,0,27.324,1,27.378,27.432,27.324,ios,1,0,0, ,TRUE,4,1, , ,8.043,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,13,13,0,9/7/2019,2/27/2020,72,1,6,1,5,0,270.204,2,16.224,25.4,21.252,android,0,0,13, ,FALSE,20,5,14,14,10.143,"{
  General merchandise: 1,
  Grocery: 6,
  Pet supplies: 0,
  Restaurant: 6,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,1,1,0,1/3/2020,1/3/2020,75,0,0,0,1,0,41.492,1,41.574,41.656,41.492,ios,0,1,0, ,TRUE,20,6, , ,1.881,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Occasional Big Spender
9/1/2019,DNK,1,1,0,9/26/2020,9/26/2020,76,0,0,0,1,0,27.324,1,27.378,27.432,27.324,ios,1,0,0, ,FALSE,3,5, , ,3.941,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,6,4,2,4/9/2020,10/18/2020,78,0,3,0,3,0,105.248,6,12.168,23.368,17.204,android,0,0,6,"[
  japanese
]",FALSE,16,2,38,42,8.59,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 3
}",Frequent Low Spender
9/1/2019,FIN,3,3,0,9/4/2020,9/20/2020,79,0,2,0,1,0,74.888,3,21.294,32.512,25.3,android,0,0,3, ,FALSE,16,2,8,8,8.265,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 0
}",Mid-Tier User
9/1/2019,GRC,320,320,0,9/1/2019,2/29/2020,80,37,171,34,78,0,4335.408,34,6.084,33.528,13.156,web,0,196,124, ,TRUE,3,4,1,1,4.407,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 160,
  Retail store: 160
}",Frequent Low Spender
9/1/2019,GRC,2,2,0,9/17/2019,10/22/2019,81,0,0,2,0,0,15.18,2,7.098,8.128,7.084,android,0,0,2, ,TRUE,11,1,35,35,11.145,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Budget User
9/1/2019,DNK,1,1,0,10/6/2019,10/6/2019,83,0,1,0,0,0,21.252,1,21.294,21.336,21.252,ios,1,0,0, ,TRUE,14,4, , ,8.572,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,1,1,0,9/1/2019,9/1/2019,85,0,1,0,0,0,25.3,1,25.35,25.4,25.3,ios,1,0,0, ,TRUE,17,3, , ,6.434,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,1,1,0,6/16/2020,6/16/2020,87,0,0,0,1,0,21.252,1,21.294,21.336,21.252,android,1,0,0, ,TRUE,20,5, , ,2.669,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,DNK,1,1,0,8/23/2020,8/23/2020,88,0,1,0,0,0,26.312,1,26.364,26.416,26.312,ios,1,0,0, ,TRUE,7,6, , ,8.52,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,5,4,1,9/1/2019,9/26/2020,89,0,2,0,3,0,135.608,3,20.28,35.56,27.324,android,0,0,5,"[
  american
]",TRUE,19,4,98,91,11.773,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 5,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,5,5,0,10/14/2019,10/28/2020,91,0,1,0,4,0,134.596,3,22.308,33.528,27.324,ios,5,0,0,"[
  italian
]",FALSE,13,6,95,91,3.669,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 5,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,2,2,0,4/15/2020,8/28/2020,93,0,1,0,1,0,65.78,2,26.364,40.64,33.396,android,0,0,2, ,FALSE,2,5,135,135,1.373,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,8,8,0,9/8/2019,7/27/2020,94,0,4,1,3,0,388.608,3,30.42,70.104,48.576,ios,3,0,5, ,FALSE,8,4,46,49,7.973,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 4,
  Retail store: 4
}",Power User
9/1/2019,DNK,1,1,0,8/6/2020,8/6/2020,97,0,1,0,0,0,35.42,1,35.49,35.56,35.42,ios,1,0,0, ,TRUE,22,1, , ,5.024,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,1,1,0,5/29/2020,5/29/2020,98,0,0,0,1,0,49.588,1,49.686,49.784,49.588,android,0,0,1, ,FALSE,23,7, , ,10.774,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Occasional Big Spender
9/1/2019,FIN,1,1,0,2/12/2020,2/12/2020,100,0,0,1,0,0,48.576,1,48.672,48.768,48.576,android,0,0,1, ,TRUE,8,4, , ,6.098,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Occasional Big Spender
9/1/2019,DNK,11,10,1,5/22/2020,10/15/2020,102,0,8,0,3,0,269.192,6,17.238,51.816,24.288,ios,11,0,0, ,FALSE,20,3,15,11,1.909,"{
  General merchandise: 1,
  Grocery: 5,
  Pet supplies: 0,
  Restaurant: 5,
  Retail store: 0
}",Mid-Tier User
9/1/2019,DNK,2,2,0,5/1/2020,9/3/2020,103,0,0,0,2,0,91.08,2,40.56,51.816,45.54,ios,2,0,0, ,FALSE,11,4,125,125,0.989,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Occasional Big Spender
9/1/2019,FIN,14,13,1,10/18/2019,8/9/2020,104,1,5,2,6,0,387.596,5,16.224,44.704,27.324,web,0,14,0, ,TRUE,5,3,23,21,1.553,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 7,
  Retail store: 7
}",Mid-Tier User
9/1/2019,FIN,17,5,12,9/21/2019,10/24/2020,106,0,9,0,8,0,455.4,9,10.14,50.8,26.312,android,0,0,17,"[
  italian,
  middle eastern,
  american
]",TRUE,10,7,25,22,3.132,"{
  General merchandise: 1,
  Grocery: 8,
  Pet supplies: 0,
  Restaurant: 8,
  Retail store: 0
}",Mid-Tier User
9/1/2019,GRC,6,6,0,7/15/2020,10/16/2020,107,0,6,0,0,0,71.852,2,7.098,19.304,12.144,ios,5,1,0, ,TRUE,5,5,19,17,9.059,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 3
}",Frequent Low Spender
9/1/2019,DNK,1,1,0,9/15/2019,9/15/2019,109,0,1,0,0,0,34.408,1,34.476,34.544,34.408,ios,1,0,0, ,FALSE,18,2, , ,11.22,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 1,
  Retail store: 0
}",Mid-Tier User
9/1/2019,DNK,5,4,1,9/1/2019,7/17/2020,111,0,3,0,2,0,142.692,5,21.294,37.592,28.336,ios,5,0,0,"[
  japanese
]",FALSE,13,7,80,81,7.414,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 5,
  Retail store: 0
}",Mid-Tier User
9/1/2019,DNK,2,0,2,9/1/2019,10/10/2019,112,0,2,0,0,0,48.576,1,24.336,24.384,24.288,web,0,2,0, ,TRUE,0,7,39,39,6.874,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Mid-Tier User
9/1/2019,DNK,3,2,1,12/29/2019,3/3/2020,116,0,1,0,2,0,86.02,3,13.182,46.736,28.336,ios,3,0,0, ,FALSE,15,2,33,33,8.944,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 3,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,2,2,0,9/1/2019,9/4/2019,117,0,2,0,0,0,24.288,2,10.14,14.224,12.144,ios,2,0,0, ,TRUE,23,5,3,3,3.244,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 2,
  Retail store: 0
}",Budget User
9/1/2019,DNK,11,2,9,9/1/2019,10/15/2020,118,0,5,0,6,0,423.016,3,20.28,77.216,38.456,ios,11,0,0,"[
  american
]",FALSE,21,4,41,24,10.705,"{
  General merchandise: 1,
  Grocery: 5,
  Pet supplies: 0,
  Restaurant: 5,
  Retail store: 0
}",Mid-Tier User
9/1/2019,FIN,4,2,2,10/12/2019,5/23/2020,119,0,4,0,0,0,72.864,3,12.168,22.352,18.216,ios,4,0,0, ,FALSE,2,5,75,11,2.982,"{
  General merchandise: 0,
  Grocery: 0,
  Pet supplies: 0,
  Restaurant: 4,
  Retail store: 0
}",Mid-Tier User
